"M","valence","par","item","study","TSlength","scale","MpD","pop","retro","TSlength_c","MpD_c"
1,0,42,6,1,182,1,6,0,0,81.1437125748503,0.185714285714286
1,0,42,7,1,182,1,6,0,0,81.1437125748503,0.185714285714286
0,0,42,8,1,182,1,6,0,0,81.1437125748503,0.185714285714286
1,1,43,1,1,156,1,6,0,0,55.1437125748503,0.185714285714286
0,1,43,2,1,156,1,6,0,0,55.1437125748503,0.185714285714286
1,1,43,3,1,156,1,6,0,0,55.1437125748503,0.185714285714286
0,1,43,4,1,156,1,6,0,0,55.1437125748503,0.185714285714286
1,0,43,5,1,156,1,6,0,0,55.1437125748503,0.185714285714286
1,0,43,6,1,156,1,6,0,0,55.1437125748503,0.185714285714286
1,0,43,7,1,156,1,6,0,0,55.1437125748503,0.185714285714286
1,0,43,8,1,156,1,6,0,0,55.1437125748503,0.185714285714286
1,1,44,1,1,186,1,6,0,0,85.1437125748503,0.185714285714286
1,1,44,2,1,186,1,6,0,0,85.1437125748503,0.185714285714286
0,1,44,3,1,186,1,6,0,0,85.1437125748503,0.185714285714286
0,1,44,4,1,186,1,6,0,0,85.1437125748503,0.185714285714286
1,0,44,5,1,186,1,6,0,0,85.1437125748503,0.185714285714286
1,0,44,6,1,186,1,6,0,0,85.1437125748503,0.185714285714286
1,0,44,7,1,186,1,6,0,0,85.1437125748503,0.185714285714286
1,0,44,8,1,186,1,6,0,0,85.1437125748503,0.185714285714286
1,1,45,1,1,139,1,6,0,0,38.1437125748503,0.185714285714286
1,1,45,2,1,139,1,6,0,0,38.1437125748503,0.185714285714286
1,1,45,3,1,139,1,6,0,0,38.1437125748503,0.185714285714286
1,1,45,4,1,139,1,6,0,0,38.1437125748503,0.185714285714286
1,0,45,5,1,139,1,6,0,0,38.1437125748503,0.185714285714286
0,0,45,6,1,139,1,6,0,0,38.1437125748503,0.185714285714286
1,0,45,7,1,139,1,6,0,0,38.1437125748503,0.185714285714286
1,0,45,8,1,139,1,6,0,0,38.1437125748503,0.185714285714286
0,1,46,1,1,149,1,6,0,0,48.1437125748503,0.185714285714286
0,1,46,2,1,149,1,6,0,0,48.1437125748503,0.185714285714286
0,1,46,3,1,149,1,6,0,0,48.1437125748503,0.185714285714286
0,1,46,4,1,149,1,6,0,0,48.1437125748503,0.185714285714286
0,0,46,5,1,149,1,6,0,0,48.1437125748503,0.185714285714286
0,0,46,6,1,149,1,6,0,0,48.1437125748503,0.185714285714286
0,0,46,7,1,149,1,6,0,0,48.1437125748503,0.185714285714286
0,0,46,8,1,149,1,6,0,0,48.1437125748503,0.185714285714286
1,1,47,1,1,112,1,6,0,0,11.1437125748503,0.185714285714286
1,1,47,2,1,112,1,6,0,0,11.1437125748503,0.185714285714286
1,1,47,3,1,112,1,6,0,0,11.1437125748503,0.185714285714286
1,1,47,4,1,112,1,6,0,0,11.1437125748503,0.185714285714286
1,0,47,5,1,112,1,6,0,0,11.1437125748503,0.185714285714286
1,0,47,6,1,112,1,6,0,0,11.1437125748503,0.185714285714286
1,0,47,7,1,112,1,6,0,0,11.1437125748503,0.185714285714286
1,0,47,8,1,112,1,6,0,0,11.1437125748503,0.185714285714286
0,1,48,1,1,100,1,6,0,0,-0.856287425149702,0.185714285714286
0,1,48,2,1,100,1,6,0,0,-0.856287425149702,0.185714285714286
0,1,48,3,1,100,1,6,0,0,-0.856287425149702,0.185714285714286
0,1,48,4,1,100,1,6,0,0,-0.856287425149702,0.185714285714286
0,0,48,5,1,100,1,6,0,0,-0.856287425149702,0.185714285714286
1,0,48,6,1,100,1,6,0,0,-0.856287425149702,0.185714285714286
